time,space_id,faculty_name,fitbit.air-vel,fitbit.bodyPresence,fitbit.change,fitbit.clothing,fitbit.comfort,fitbit.heartRate,fitbit.indoorOutdoor,fitbit.lat,fitbit.lon,fitbit.met,fitbit.responseSpeed,fitbit.restingHR,fitbit.thermal,fitbit.voteLog,fitbit_api.HR,fitbit_api.Steps,Ambient Temp(℃),Steerpath.Accuracy,Steerpath.Floor,Steerpath.Latitude,Steerpath.Longitude,Steerpath.Space,Skin Temp(℃),Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%),VAV2-3|Temp at space_id: 201,VAV2-4|Temp at space_id: 201,VAV2-5|Temp at space_id: 201,VAV2-6|Temp at space_id: 201,VAV2-18|Temp at space_id: 202,VAV2-20|Temp at space_id: 203,VAV2-7N8|Temp at space_id: 204,VAV2-9N27|Temp at space_id: 204,VAV2-22|Temp at space_id: 206,VAV2-17|Temp at space_id: 207,VAV2-16|Temp at space_id: 207,VAV2-12|Temp at space_id: 208,score,temp(°C),humid,co2,voc,pm25,light,noise,device_uuid,senSING.humidity,senSING.light,senSING.noise,senSING.temperature,purpleair.0.3_um_count,purpleair.0.5_um_count,purpleair.1.0_um_count,purpleair.10.0_um_count,purpleair.2.5_um_count,purpleair.5.0_um_count,purpleair.humidity,purpleair.pm1.0,purpleair.pm10.0,purpleair.pm2.5,purpleair.pressure,purpleair.temperature,user_id,Year of birth (for example 1995),Sex,Height (cm),Weight (kg),Shoulder width (cm),How long have you been in Singapore (in years)?,Can you say that you are used to the weather in Singapore?,Can you say that you are satisfied with the weather in this city (outdoor weather conditions)?,Do you suffer from sweating in Singapore?,Do you enjoy being outdoor in Singapore?,What is your estimation of your time (hours) spent outdoor (per day) during the weekdays? (for example 2 hrs),What is your estimation of your time (hours) spent outdoor (per day) during the weekend? (for example 4 hrs),Do you seem to be aware of subtleties in your environment? ,"Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?","Do you have a rich, complex inner life?",Do you get rattled when you have a lot to do in a short amount of time?,Are you deeply moved by the arts or music?,Are you annoyed when people try to get you to do too many things at once?,Do you make a point to avoid violent movies and TV shows?,Do you find it unpleasant to have a lot going on at once?,Do changes in your life shake you up?,"Do you notice and enjoy delicate or fine scents, tastes, sounds, works of art?","Are you bothered by intense stimuli, like loud noises or chaotic scenes?","When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",In most ways my life is close to my ideal,The conditions of my life are excellent,I am satisfied with my life,So far I have gotten the important things I want in life,"If I could live my life over, I would change almost nothing","Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experience, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, unreactive"
2021-03-24 15:21:00+08:00,2,SDE4,11.0,True,10.0,9.0,10,89,11.0,1.2964783333333334,103.77037166666666,9.0,14.43,84,11.0,1229.0,88.7,0.0,28.75,5.5,3,1.2967889230596856,103.77047610366662,,33.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3347.53,1008.19,178.72,0.5,12.33,3.38,,17.86,31.28,28.41,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 15:51:00+08:00,0,SDE4,11.0,True,10.0,9.0,10,92,9.0,,,9.0,22.324,84,10.0,1230.0,89.66666666666667,0.0,30.125,6.25,3,1.2969562306954705,103.770433422767,,34.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164.94,950.43,158.75,0.36,10.17,2.3,,16.91,28.42,26.51,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 18:42:00+08:00,0,SDE4,11.0,True,11.0,9.0,10,111,9.0,,,11.0,15.238,84,11.0,1231.0,106.33333333333333,0.0,27.438,2.5,3,1.296872576877578,103.7702155255426,,31.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698.05,513.23,69.3,0.18,4.66,1.16,,8.7,13.38,12.71,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 18:59:00+08:00,0,SDE4,11.0,True,10.0,9.0,10,95,9.0,1.2964316666666666,103.77004333333332,9.0,11.243,84,11.0,1232.0,94.77777777777777,0.0,28.688,1.75,3,1.2968703159635808,103.77021327917946,,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.85,387.27,54.03,0.0,2.12,0.4,,6.48,9.47,9.18,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 19:02:00+08:00,0,SDE4,11.0,True,10.0,9.0,10,96,9.0,1.2964316666666666,103.77004333333332,9.0,9.15,84,11.0,,95.55555555555556,0.0,29.062,4.25,3,1.2968680550495837,103.77021327917946,,33.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.91,269.12,31.95,0.0,1.36,0.09,,4.14,6.24,5.97,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 19:17:00+08:00,0,SDE4,11.0,True,10.0,9.0,10,92,9.0,,,9.0,6.312,86,10.0,1234.0,90.0,0.0,28.75,2.5,3,1.2968951860175488,103.7702447282634,,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028.41,301.89,32.54,0.0,1.07,0.25,,4.98,6.77,6.62,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 19:34:00+08:00,0,SDE4,11.0,True,10.0,9.0,10,88,9.0,1.2965883333333332,103.77007166666668,9.0,9.832,86,10.0,1235.0,89.7,0.0,28.438,2.5,3,1.2968951860175488,103.7702447282634,,32.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.66,288.0,37.1,0.22,1.71,0.22,,4.33,6.91,6.64,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 19:58:00+08:00,0,SDE4,11.0,True,10.0,9.0,10,92,9.0,,,9.0,12.522,86,10.0,1236.0,90.25,0.0,28.375,4.75,3,1.29691779515752,103.77023574281084,,32.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.19,220.76,24.84,0.0,1.86,0.55,66.0,3.33,4.84,4.34,1005.39,26.67,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 20:21:00+08:00,0,SDE4,11.0,True,10.0,9.0,10,89,9.0,,,9.0,11.261,86,10.0,1237.0,86.0,0.0,27.625,2.75,3,1.296874837791575,103.77021103281632,,31.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.78,219.48,29.71,0.0,1.47,0.0,,2.72,4.47,4.43,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
2021-03-24 20:42:00+08:00,42,SDE4,11.0,True,11.0,9.0,10,92,11.0,,,9.0,9.365,86,10.0,1238.0,91.4,0.0,26.062,1.5,4,1.2968341413396274,103.77045813276152,,32.438,,,,,,,,,,,,,,,,,,,,,,,74.5,26.4,83.7,426.3,43.7,1.0,0.0,49.0,awair-omni_6545,,,,,753.7,223.98,26.38,0.0,0.98,0.21,,3.46,4.95,4.91,,,enth22,1998,Male,170,69.0,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
